== Computing Ramchandran numbers ==
Using Parameters:
	INITIAL_ALPHA: 5
	MAX_INITIAL_DEPTH: 4
	ALPHA: 20
	MAX_TRIES: 150

AUTHOR                                 RAMCHANDRAN NUMBER
Alexander Russell                      4
Chi Zhang                              4
Bhushan Jagyasi                        4
Abhilash Jindal                        4
Yoshua Bengio                          4
Mohammad Al-Smadi                      4
Andrew Turpin                          4
Affan Syed                             4
Daphne Koller                          4
Yves Lucet                             4
Jason Swedlow                          4
Dhruv Gupta                            4
Martin Ebner                           4
Serge Vladuts                          4
Supriyo Bandyopadhyay                  4
Julio Hernandez-Castro                 4
Claudia Bremer                         4
Venkatesan Guruswami                   4
Robert Lund                            4
Sigbert Klinke                         4
Vwani Roychowdhury                     4
Hsuan-Jung Su                          4
Frank Garvan                           4
Meltem Sonmez Turan                    4
Haibo Zeng                             4
S. Sandeep Pradhan                     4
Alex Graves                            4
David T Yost                           4
Jin-Yi Cai                             4
Rohit Prabhavalkar                     4
Christina Fragouli                     4
Albert Strasheim                       4
Lei Zhang                              4
Vladimir Spokoiny                      4
Ming-Ting Sun                          4
Christos Dimitrakakis                  4
Yang Yu                                4
Samuel Thomas                          4
Js Plank                               4
James Gentle                           4
Oriol Vinyals                          4
Levent Arslan                          4
Marcos Andre Goncalves                 4
Risheng Liu                            4
Daniel Povey                           4
Jason Weston                           4
Jianqing Fan                           4
Jochen Triesch                         4
Cecilia Mascolo                        5
Swamy, Mns                             5
Yunlian Sun                            5
Muhammad Muneeb Ullah                  5
Bruno Coutinho                         5
Yicong Zhou                            5
Horst Bunke                            5
Brian Brewington                       5
Altigran Soares Da Silva               5
Etienne Grossmann                      5
Wei Zhao                               5
E. Boutillon                           5
Nikolaus Hautsch                       5
Anastassia Loukina                     5
Donald Estep                           5
Johnnatan Messias                      5
Dr. Tony Sahama                        5
David Frohlich                         5
Daniele Quercia                        5
Mahdi Shabany                          5
Ali Sheikholeslami                     5
Kostas Pagiamtzis                      5
Wun-She Yap                            5
Ilja Kuzborskij                        5
Pedro Os Vaz De Melo                   5
Lale Akarun                            5
Frank R. Kschischang                   5
Anders Lindgren                        5
Claudio Castellini                     5
Ganapati Panda                         5
Mark Handley                           5
Somaya Arianfar                        5
Saeed Gazor                            5
Dumitru Erhan                          5
Andrzej Drygajlo                       5
Alina Ostafe                           5
Diane Donovan                          5
Virgil Griffith                        5
Axel Cleeremans                        5
